Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 50,OCCO[C@H](C[C@@H]1CC[C@@H]([C@H]1CC[C@H](CNC[C@H](O)C)O)COC)CC(C)C,C22H45NO5,403.60,28,0,1.00,16,6,4,114.21,91.18,4.30,2.22,2.20,1.14,3.70,2.71,-2.68,8.34e-01,2.07e-03,Soluble,-3.77,6.86e-02,1.70e-04,Soluble,-3.69,8.26e-02,2.05e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.19,0,1,1,0,1,0.55,0,0,2,4.83
Molecule 51,CCO[C@@H]1C[C@@H](CC1=C1CCC(C1)C(=O)OCCC=CCCC(=O)O)OC,C21H32O6,380.48,27,0,0.71,11,6,1,103.11,82.06,3.99,1.79,3.65,2.11,3.88,3.08,-2.60,9.54e-01,2.51e-03,Soluble,-3.13,2.81e-01,7.38e-04,Soluble,-3.31,1.89e-01,4.95e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.35,0,0,1,0,0,0.56,0,1,2,5.00
Molecule 52,COCC(=O)C1=C(CC(=C1C)C[C@H]1CN=C(CC1[C@H]1CC[C@H](O1)CO)NCN)C(=O)N,C22H34N4O5,434.53,31,0,0.68,10,7,4,119.54,149.26,2.49,-2.13,-0.21,-0.12,1.94,0.39,-0.53,1.28e+02,2.94e-01,Very soluble,-0.48,1.45e+02,3.35e-01,Very soluble,-3.24,2.51e-01,5.77e-04,Soluble,Low,No,No,No,No,No,No,No,-10.46,0,0,1,1,1,0.55,0,1,2,5.73
Molecule 53,CCCCCCNCC[C@H](NC(=CC[C@H](C(=O)O)CCNC(=N)CC)NNCCCC(=O)O)C,C24H48N6O4,484.68,34,0,0.79,24,7,8,138.15,158.60,3.56,-1.32,2.78,2.04,3.13,2.04,-0.43,1.80e+02,3.72e-01,Very soluble,-1.51,1.49e+01,3.08e-02,Very soluble,-5.83,7.10e-04,1.47e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.19,1,3,2,1,3,0.55,0,2,2,5.73
Molecule 54,COC[C@@H](CC1=NC(=O)C(=N1)[C@H](/C(=[C]/C(=O)NCCCCO)/N)N=CC1CCCC1)N,C21H33N6O4,433.52,31,0,0.67,14,8,4,125.60,164.75,0.00,-0.68,-0.87,-1.60,3.26,0.02,-1.18,2.89e+01,6.68e-02,Very soluble,-2.31,2.15e+00,4.95e-03,Soluble,-3.26,2.39e-01,5.52e-04,Soluble,Low,No,No,No,No,No,No,No,-9.43,0,1,2,1,1,0.55,0,2,2,5.54
Molecule 55,OCN1CC[C@H](C1)CCCNC[C@@H](Cc1ccccc1CN([C@@H]1CCC2=CC=C(C=C[C@@H]12)F)C(=O)C)CCNNC[C@@H]1C(=O)N=C([C@H]1OC(=O)CCOC(=O)OC)C1=C(O)[C@@H](NC1=O)C(=O)N,C47H63FN8O11,935.05,67,6,0.55,28,17,7,253.56,263.55,4.46,2.41,1.05,0.10,3.04,2.21,-5.37,3.95e-03,4.23e-06,Moderately soluble,-7.59,2.42e-05,2.59e-08,Poorly soluble,-7.45,3.30e-05,3.53e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-10.29,3,3,2,1,5,0.17,0,1,2,8.85
Molecule 56,CO[C@@H](C=CC(=C1CNN(N1)C)NC(=O)C[C@@H](CNC(=O)C(C)C)C)NCC[C@@H]([C@@H](O)C)O,C22H42N6O5,470.61,33,0,0.73,16,8,7,137.26,147.22,2.94,-0.18,-1.83,-0.35,0.49,0.21,-1.59,1.21e+01,2.58e-02,Very soluble,-2.46,1.65e+00,3.50e-03,Soluble,-2.67,9.97e-01,2.12e-03,Soluble,Low,No,Yes,No,No,No,No,No,-9.30,2,3,2,1,2,0.17,0,1,2,6.11
Molecule 57,COC[C@H]1NCCC(=C=C2C1=CC(=CC2)[C@@H]1NCCCc2c(C1)cccc2)C=C,C26H32N2O,388.55,29,6,0.42,4,3,2,127.89,33.29,3.82,2.29,3.27,3.71,4.96,3.61,-3.58,1.02e-01,2.63e-04,Soluble,-2.63,9.18e-01,2.36e-03,Soluble,-6.85,5.54e-05,1.43e-07,Poorly soluble,High,Yes,Yes,No,Yes,No,No,Yes,-7.04,0,0,0,0,0,0.55,0,0,1,4.96
Molecule 58,OCCNCNCC(=NCCP(O)O)NC[C@@H]1C[C@@H]2[C@@H](OC)C[C@@H](C2=C[C@H]1CC(=O)O[C@@](CO)(CC)C)CC=CC=C,C30H53N4O7P,612.74,42,0,0.73,22,10,7,167.80,178.49,3.64,0.01,1.84,0.78,3.83,2.02,-2.19,3.93e+00,6.41e-03,Soluble,-3.31,3.00e-01,4.90e-04,Soluble,-4.34,2.78e-02,4.53e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-10.03,3,3,2,1,4,0.17,0,6,2,7.02
Molecule 59,CCCN([C@@H]1C=C2C=C(OCC)C(C=C2CN[C@H]1CNCN)OCC1C[C@H](NC1=O)CO)C,C24H41N5O4,463.61,33,0,0.71,12,8,5,135.09,121.11,3.19,-1.26,-0.92,-0.42,0.37,0.19,-1.13,3.45e+01,7.44e-02,Very soluble,-0.79,7.57e+01,1.63e-01,Very soluble,-3.65,1.04e-01,2.24e-04,Soluble,High,No,Yes,No,No,No,No,No,-10.02,0,3,1,0,0,0.55,0,1,2,6.15
