Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 54,O=C1[C@H]2CC(N=C[C@H]2C2=CCC=CC=C12)C(c1ccccc1)N1CNNC1,C22H24N4O,360.45,27,6,0.36,3,5,2,121.09,56.73,2.75,1.83,0.68,2.41,2.12,1.96,-3.19,2.31E-01,6.40E-04,Soluble,-2.64,8.23E-01,2.28E-03,Soluble,-4.04,3.28E-02,9.10E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-7.2,0,0,0,0,0,0.55,0,0,1,4.97
Molecule 55,COC(=O)C(=CC=C[C@@H]([C@@H]1[C@@H](C)C[C@H]2[C@@H]([C@H]1C)CC[C@@H]2C)C)CC,C22H36O2,332.52,24,0,0.77,6,2,0,103.98,26.3,4.53,6.94,5.64,4.98,4.93,5.41,-5.88,4.41E-04,1.32E-06,Moderately soluble,-7.31,1.65E-05,4.95E-08,Poorly soluble,-3.61,8.14E-02,2.45E-04,Soluble,High,Yes,No,No,No,Yes,Yes,No,-3.4,1,1,0,0,1,0.55,0,2,1,5.34
Molecule 56,CN1[C@H]2CCCC[C@@H]([C@@H]2CC2C(=CCC=C2)[C@H]2[C@@H]1[C@H](O)C1=CC=CCC1=N2)O,C24H32N2O2,380.52,28,0,0.62,0,4,2,121.16,56.06,3.61,2.3,2.42,2.69,1.74,2.55,-3.65,8.55E-02,2.25E-04,Soluble,-3.12,2.92E-01,7.67E-04,Soluble,-1.76,6.63E+00,1.74E-02,Soluble,High,Yes,Yes,No,No,No,No,No,-6.99,0,0,0,0,0,0.55,0,1,1,6
Molecule 57,CCO[C@@H]([C@H](C(=O)O)CC(=CCC1C=CC=CC=C1)CCCNC#CN)C,C22H32N2O3,372.5,27,0,0.5,12,3,3,110.39,84.58,3.18,4.92,3.44,2.16,2.78,3.3,-4.46,1.30E-02,3.49E-05,Moderately soluble,-6.43,1.37E-04,3.69E-07,Poorly soluble,-2.42,1.43E+00,3.84E-03,Soluble,High,No,Yes,No,No,Yes,Yes,No,-5.08,0,0,1,0,0,0.56,0,3,3,5.27
Molecule 58,C[C@@H]1CCC[C@](N[C@H]1CCC1=CC(F)C(C=C1C)C)(C)O,C18H30FNO,295.44,21,0,0.78,3,3,2,91.43,32.26,3.65,3.44,4.15,3.89,3.55,3.73,-3.64,6.75E-02,2.29E-04,Soluble,-3.8,4.70E-02,1.59E-04,Soluble,-3.89,3.81E-02,1.29E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.66,0,0,0,0,0,0.55,0,0,0,4.96
Molecule 59,CC1=CC(=C(c2cccc(n2)O[C@H](O)C)C[C@@H]2OC(=C(C2)C)[C@@H](O)C)CC=N1,C22H28N2O4,384.47,28,6,0.45,6,6,2,113.36,84.17,3.34,1.89,3.38,1.13,4.06,2.76,-3.18,2.56E-01,6.65E-04,Soluble,-3.28,2.02E-01,5.25E-04,Soluble,-4.17,2.58E-02,6.70E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.3,0,0,0,0,0,0.55,0,1,1,5.26
Molecule 60,CC([C@H]1C[C@H](N=C2C1=CC=NC2)[C@H]1NC(=O)C(C1)O)C,C15H21N3O2,275.35,20,0,0.67,2,4,2,89.5,74.05,2.1,-0.02,-0.41,0.29,2.33,0.86,-1.4,1.09E+01,3.96E-02,Very soluble,-1.09,2.26E+01,8.21E-02,Very soluble,-2.07,2.34E+00,8.49E-03,Soluble,High,No,No,No,No,No,No,No,-7.99,0,1,0,0,0,0.55,0,0,0,4.73
Molecule 61,CC(CCCc1ccccc1)(O)C,C12H18O,178.27,13,6,0.5,4,1,1,56.64,20.23,2.69,2.97,2.78,3.06,3.1,2.92,-2.89,2.28E-01,1.28E-03,Soluble,-3.06,1.56E-01,8.75E-04,Soluble,-3.86,2.48E-02,1.39E-04,Soluble,High,Yes,No,No,No,No,Yes,No,-5.28,0,0,0,0,2,0.55,0,0,1,1.19
Molecule 62,C[C@H](C[C@@H]1C=CC(C=N1)C1C(=CC=C(C1F)F)O)N,C14H18F2N2O,268.3,19,0,0.5,3,5,2,75.15,58.61,2.12,0.89,3.07,1.57,1.86,1.9,-1.87,3.65E+00,1.36E-02,Very soluble,-1.71,5.29E+00,1.97E-02,Very soluble,-1.33,1.26E+01,4.70E-02,Soluble,High,Yes,No,No,No,No,No,No,-7.3,0,0,0,0,0,0.55,0,1,0,5.21
Molecule 63,NC1C=C[C@@H](C(=C1)C)Nc1cnnc(c1)[C@@H](N([C@@H](C(=O)O)C(=O)N)C)O,C16H22N6O4,362.38,26,6,0.38,7,8,5,92.76,167.69,1.57,-4.33,-1.55,-1.09,-2.28,-1.54,0.93,3.10E+03,8.56E+00,Highly soluble,1.42,9.54E+03,2.63E+01,Highly soluble,-0.38,1.50E+02,4.14E-01,Soluble,Low,No,No,No,No,No,No,No,-11.58,0,1,1,1,2,0.55,0,3,1,4.41
Molecule 64,CCCNC(=C)C(=N)NCON1C=NC(=CC1N1CCCCC1)CC,C18H32N6O,348.49,25,0,0.67,10,4,3,114.38,75.98,3.72,2.86,1.26,1.84,1.5,2.24,-3.14,2.51E-01,7.20E-04,Soluble,-4.11,2.68E-02,7.68E-05,Moderately soluble,-3.12,2.62E-01,7.52E-04,Soluble,High,No,Yes,No,Yes,No,No,No,-6.4,0,0,0,0,0,0.55,0,3,1,5.28
Molecule 65,CC1=CC(Cl)C(=C2[C@@H]1CC[C@@H]1[C@H]2C[C@@]2(N1)CCCC2=O)F,C17H21ClFNO,309.81,21,0,0.71,0,3,1,86.23,29.1,2.87,1.84,3.7,3.38,3.63,3.08,-2.92,3.72E-01,1.20E-03,Soluble,-2.07,2.63E+00,8.48E-03,Soluble,-4.31,1.51E-02,4.89E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.88,0,0,0,0,0,0.55,0,2,0,5.31
Molecule 66,CO[C@@]1(O)CC2=CO[C@H]([C@H]([C@H]2[C@@H]2[C@@H]1[C@@H](C)[C@H](C)CCC2)O)[C@H]([C@H](O)C)C,C21H36O5,368.51,26,0,0.9,3,5,3,101.94,79.15,3.12,2.82,2.69,2,1.82,2.49,-3.7,7.30E-02,1.98E-04,Soluble,-4.14,2.67E-02,7.25E-05,Moderately soluble,-1.63,8.68E+00,2.36E-02,Soluble,High,No,Yes,No,No,No,No,No,-6.55,0,0,0,0,0,0.55,0,1,1,6.32
Molecule 67,CCOC1=C2CCC(=C2CO1)OCC(=O)N,C11H15NO4,225.24,16,0,0.55,5,4,1,55.98,70.78,2.04,-0.29,0.81,-0.29,1.2,0.7,-0.72,4.25E+01,1.89E-01,Very soluble,-0.74,4.13E+01,1.83E-01,Very soluble,-1.77,3.78E+00,1.68E-02,Soluble,High,No,No,Yes,No,No,No,No,-7.88,0,0,0,0,0,0.55,0,0,1,3.62
Molecule 68,OC1[C@H](C)NN[C@@H]1c1ccc(cc1)O,C10H14N2O2,194.23,14,6,0.4,1,4,4,60.33,64.52,1.47,0.32,-0.8,0.52,0.2,0.34,-1.5,6.19E+00,3.18E-02,Very soluble,-1.24,1.12E+01,5.78E-02,Very soluble,-1.88,2.56E+00,1.32E-02,Soluble,High,No,No,No,No,No,No,No,-7.26,0,1,0,0,1,0.55,0,0,1,2.77
Molecule 69,O[C@H](C1CCCCC1)CC1=CC=CCC1,C14H22O,206.32,15,0,0.71,3,1,1,65.4,20.23,2.94,3.73,3.59,3.3,3.24,3.36,-3.27,1.11E-01,5.36E-04,Soluble,-3.85,2.94E-02,1.42E-04,Soluble,-2.15,1.46E+00,7.06E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-4.91,0,0,0,0,1,0.55,0,0,2,4.19
Molecule 70,OC1=CC2C(=CC1)Cc1ccccc1[C@@H]1C[C@@]32C=C[C@@H](C(=C3CO1)O)C,C23H24O3,348.43,26,6,0.39,0,3,2,102.1,49.69,2.93,3.17,4.77,3.16,3.15,3.44,-4.17,2.37E-02,6.79E-05,Moderately soluble,-3.88,4.55E-02,1.31E-04,Soluble,-4.07,2.94E-02,8.43E-05,Moderately soluble,High,Yes,Yes,Yes,No,Yes,No,Yes,-6.17,0,0,0,0,0,0.55,0,1,0,5.27
Molecule 71,Cl[C@@H]1C(=O)SC2=C1CC=CN2c1ccc(cc1)F,C13H9ClFNOS,281.73,18,6,0.15,1,2,0,74.99,45.61,2.47,3.45,3.68,2.69,3.05,3.07,-3.94,3.23E-02,1.15E-04,Soluble,-4.09,2.29E-02,8.15E-05,Moderately soluble,-3.84,4.11E-02,1.46E-04,Soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.57,0,0,0,0,0,0.55,0,2,0,3.7
Molecule 72,CC[C@@H]([C@@H](c1cncc(c1)C1=CNCCC(=N1)C)C)C,C17H25N3,271.4,20,6,0.53,4,2,1,94.17,37.28,3.01,2.97,3.22,1.97,4.54,3.14,-3.35,1.21E-01,4.45E-04,Soluble,-3.42,1.04E-01,3.84E-04,Soluble,-5.3,1.36E-03,5.01E-06,Moderately soluble,High,Yes,No,No,Yes,No,Yes,No,-5.85,0,0,0,0,0,0.55,0,0,0,4.55
Molecule 73,CC[C@@H]1C[C@@H]2C[C@@]31CC[C@@H]1[C@@H](C[C@H]3CC2)OC(CC1)(C)C,C20H34O,290.48,21,0,1,1,1,0,90.66,9.23,3.98,6.22,5.58,5,4.66,5.09,-5.49,9.32E-04,3.21E-06,Moderately soluble,-6.2,1.83E-04,6.32E-07,Poorly soluble,-4.44,1.05E-02,3.62E-05,Moderately soluble,Low,No,No,Yes,No,Yes,No,No,-3.66,1,0,0,0,2,0.55,0,0,1,5.4
Molecule 74,OO[C@@H]1C(=O)C[C@H]2C=C[C@H](C=C2C)CC2C[C@H]3[C@@H]1[C@H](C[C@H]3NC2=O)[C@@H]([C@H]([C@@H](CC(C)C)C)C)O,C28H43NO5,473.64,34,0,0.79,6,5,3,138.24,95.86,3.68,4.75,4.01,3.16,3.02,3.72,-5.37,2.01E-03,4.24E-06,Moderately soluble,-6.49,1.52E-04,3.21E-07,Poorly soluble,-3.12,3.61E-01,7.62E-04,Soluble,High,No,Yes,No,No,No,No,Yes,-5.82,0,2,0,0,0,0.55,0,2,2,7.63
Molecule 75,O[C@H]1CCCC[C@@H]1CC[C@@H]1CC[C@H]([C@@H]1C)O,C14H26O2,226.36,16,0,1,3,2,2,67.51,40.46,2.95,3.07,2.72,2.63,2.44,2.76,-2.98,2.37E-01,1.05E-03,Soluble,-3.59,5.86E-02,2.59E-04,Soluble,-1.84,3.29E+00,1.46E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.5,0,0,0,0,0,0.55,0,0,1,3.43
Molecule 76,CO[C@@]1(C)OC2=CC=C3C(C2O1)[C@@H](C)[C@@H]1C=CC(=C([C@H]1[C@H]3[C@@H](C(=O)O)C)O)C,C22H28O6,388.45,28,0,0.59,3,6,2,104.15,85.22,2.91,2.2,3.78,2.24,1.55,2.54,-3.44,1.42E-01,3.66E-04,Soluble,-3.62,9.24E-02,2.38E-04,Soluble,-1.58,1.01E+01,2.61E-02,Soluble,High,No,Yes,No,No,No,No,No,-7.11,0,0,0,0,0,0.56,0,0,1,6.06
Molecule 77,CC[C@@H](CC(C)C)CC[C@@](C1C=NCC(=C1)O)(OC)S,C16H29NO2S,299.47,20,0,0.81,8,3,1,94.07,80.62,3.02,3.57,3.87,2,4,3.29,-3.42,1.14E-01,3.82E-04,Soluble,-4.95,3.37E-03,1.13E-05,Moderately soluble,-3.18,1.97E-01,6.58E-04,Soluble,High,No,No,No,No,No,Yes,No,-5.59,0,0,0,0,0,0.55,0,2,2,5.07
Molecule 78,OCCC[C@@H]([C@H]1C[C@@H]2C[C@@](C[C@@H]2C[C@@H]1C)(O)C(=O)C)O,C16H28O4,284.39,20,0,0.94,5,4,3,78.52,77.76,2.63,1.29,1.51,1.26,2.07,1.75,-2.09,2.33E+00,8.20E-03,Soluble,-2.52,8.53E-01,3.00E-03,Soluble,-1.7,5.66E+00,1.99E-02,Soluble,High,No,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,0,0,3.93
Molecule 79,Sc1cccc(c1)[C@H](NC1=C[C@@H]2CCC[C@](C1)(C2)O)C,C17H23NOS,289.44,20,6,0.53,3,1,2,86.03,71.06,3.16,3.51,3.51,3.21,3.44,3.37,-3.87,3.91E-02,1.35E-04,Soluble,-4.69,5.97E-03,2.06E-05,Moderately soluble,-4.42,1.10E-02,3.80E-05,Moderately soluble,High,Yes,Yes,No,No,Yes,Yes,No,-5.57,0,0,0,0,0,0.55,0,1,1,4.42
Molecule 80,CC1N(C)/C=C\2/C=CCC=C3C2=NC([C@@H]2[C@H]([C@H]1CC2)Nc1ccccc1)N(N3)c1ccccc1,C29H33N5,451.61,34,12,0.34,3,1,2,155.18,42.9,3.81,6.71,3.63,4.63,2.44,4.25,-6.93,5.30E-05,1.17E-07,Poorly soluble,-7.42,1.74E-05,3.85E-08,Poorly soluble,-6.41,1.76E-04,3.89E-07,Poorly soluble,High,Yes,No,No,No,Yes,No,Yes,-4.29,1,1,0,0,1,0.55,0,0,2,7.19
Molecule 81,C[C@H]1CCCCN1C(=N)C[C@H]1CCOC1,C12H22N2O,210.32,15,0,0.92,3,2,1,67.06,36.32,2.54,1.26,1.88,1.88,2.2,1.95,-1.74,3.83E+00,1.82E-02,Very soluble,-1.62,5.03E+00,2.39E-02,Very soluble,-1.89,2.74E+00,1.30E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.69,0,0,0,0,0,0.55,0,2,1,3.1
Molecule 82,COC1=C[C@@H](C=C[C@@H]1C)C[C@H]([C@@]12OC[C@H](C2(C)C)C[C@@H]1[C@@H]1C[C@H]2[C@]1(C)[C@H](C)[C@@H]1[C@H](C2)CCCCC1)O,C33H52O3,496.76,36,0,0.88,5,3,1,149.96,38.69,5.2,8.65,7.4,5.57,5.95,6.55,-8.04,4.54E-06,9.13E-09,Poorly soluble,-9.34,2.27E-07,4.57E-10,Poorly soluble,-5.5,1.59E-03,3.20E-06,Moderately soluble,Low,No,No,No,No,No,No,No,-3.19,1,4,0,1,1,0.55,0,1,2,7.85
Molecule 83,C[C@H]1C[C@@H]2CCC[C@H]2C2=CCC=C[C@H]2N[C@H]2c3c(N1)cccc3[C@H](C2)C(=O)O,C24H30N2O2,378.51,28,6,0.54,1,3,3,119.8,61.36,3.07,2,3.49,3.68,2.57,2.96,-3.54,1.09E-01,2.89E-04,Soluble,-2.92,4.60E-01,1.22E-03,Soluble,-4.54,1.10E-02,2.90E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-7.19,0,0,0,0,0,0.55,0,1,1,5.33
Molecule 84,CC[C@H]([C@H]1Oc2ccccc2[C@@H](C1)C1C=CCC=C1)C,C19H24O,268.39,20,6,0.47,3,1,0,85.6,9.23,3.61,5.57,5.1,4.52,4.18,4.59,-5.04,2.46E-03,9.18E-06,Moderately soluble,-5.53,8.01E-04,2.99E-06,Moderately soluble,-4.24,1.56E-02,5.82E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-3.98,1,0,0,0,2,0.55,0,1,1,4.2
Molecule 85,CC[C@H](c1ccccn1)CC(=O)N=CS[C@@H]1C=CCC(=N1)F,C16H18FN3OS,319.4,22,6,0.38,7,5,0,93.22,79.98,3.15,2.83,3.95,1.65,4.44,3.2,-3.34,1.45E-01,4.54E-04,Soluble,-4.17,2.17E-02,6.80E-05,Moderately soluble,-4.4,1.26E-02,3.94E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.24,0,0,0,0,0,0.55,0,3,0,4.35
Molecule 86,CO[C@@H]([C@@H]1CCC[C@H]2[C@H]1CCC2)C([C@H]1CCC[C@@H](C1)C)C,C20H36O,292.5,21,0,1,4,1,0,93,9.23,4.16,7.31,5.68,5,4.8,5.39,-5.99,2.96E-04,1.01E-06,Moderately soluble,-7.33,1.37E-05,4.67E-08,Poorly soluble,-3.88,3.83E-02,1.31E-04,Soluble,Low,No,No,No,No,Yes,Yes,No,-2.89,1,1,0,0,2,0.55,0,0,1,4.23
Molecule 87,COc1ccnc(c1C)CC[C@H]1CCc2c1c(=O)[nH]o2,C15H18N2O3,274.32,20,11,0.47,4,4,1,75.31,68.12,2.55,1.8,2.34,1.57,3.91,2.43,-2.82,4.17E-01,1.52E-03,Soluble,-2.85,3.88E-01,1.41E-03,Soluble,-5.21,1.68E-03,6.11E-06,Moderately soluble,High,Yes,Yes,No,Yes,No,No,No,-6.7,0,0,0,0,0,0.55,0,0,0,3.7
Molecule 88,CC1=CC=C(C(O1)C1=C[C@@H]2C[C@H](C[C@H]2C[C@H]1O)C(=O)O)Cl,C16H19ClO4,310.77,21,0,0.56,2,4,2,80.08,66.76,2.63,1.87,2.83,2.02,1.74,2.22,-2.81,4.78E-01,1.54E-03,Soluble,-2.89,3.97E-01,1.28E-03,Soluble,-1.39,1.26E+01,4.06E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.87,0,0,0,0,0,0.85,0,1,0,5.3
Molecule 89,OC[C@@H]1[C@H](C)CCN2[C@@H]1C(=O)N(C[C@H]2c1cccnc1)C1C=CC=C(C2=C1CNN2)O,C23H29N5O3,423.51,31,6,0.48,3,6,4,131.03,100.96,2.1,0.52,-0.82,0.3,-0.49,0.32,-2.74,7.73E-01,1.83E-03,Soluble,-2.21,2.61E+00,6.15E-03,Soluble,-2.77,7.19E-01,1.70E-03,Soluble,High,No,Yes,No,No,No,No,No,-8.51,0,2,0,0,0,0.55,0,0,1,5.35
Molecule 90,COc1ccc(c2c1C[C@@H]1C=C(OC(C)C)C=C([C@H]1[C@H](CC2)CN1COC1=O)O)O,C23H29NO6,415.48,30,6,0.52,5,6,2,116.04,88.46,2.9,3.6,3.53,1.7,2.29,2.8,-4.5,1.31E-02,3.15E-05,Moderately soluble,-5.14,2.98E-03,7.17E-06,Moderately soluble,-3.35,1.83E-01,4.42E-04,Soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.28,0,0,0,0,0,0.55,0,0,2,4.76
Molecule 91,OC[C@@]1(C)[C@H]2C[C@@H]3CCC(C3=C[C@@H]2c2c1cccc2)(O)O,C18H22O3,286.37,21,6,0.56,1,3,3,81.03,60.69,2.7,1.54,2.07,2.7,2.44,2.29,-2.73,5.32E-01,1.86E-03,Soluble,-2.42,1.08E+00,3.77E-03,Soluble,-3.27,1.56E-01,5.43E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.95,0,0,0,0,0,0.55,0,2,0,4.23
Molecule 92,OCCN1N=c2cc3N=CCC=c3n3c2=C(C1OC)C(CO)C3,C16H20N4O3,316.36,23,6,0.5,4,5,2,96,82.58,2.18,-1.5,-2.9,-0.24,1.25,-0.24,-0.79,5.18E+01,1.64E-01,Very soluble,0.27,5.91E+02,1.87E+00,Highly soluble,-1.8,5.05E+00,1.60E-02,Soluble,Low,No,No,No,No,No,No,No,-9.29,0,1,0,0,0,0.55,0,0,0,4.87
Molecule 93,CCC(=O)N(C1N=CC=CC([C@@H]1C)Cl)[C@@H]([C@H]1CC=C(C=C1)O)C,C18H25ClN2O2,336.86,23,0,0.56,5,3,1,99.46,52.9,2.89,2.79,3.46,2.81,2.25,2.84,-3.36,1.48E-01,4.40E-04,Soluble,-3.56,9.34E-02,2.77E-04,Soluble,-1.83,4.96E+00,1.47E-02,Soluble,High,Yes,No,No,No,Yes,No,Yes,-6.37,0,0,0,0,0,0.55,0,1,0,5.25
Molecule 94,C[C@@H]1CC[C@H]2[C@@H]3[C@@H]1NC1=C3[C@@H](CC(=C1)C(O)(O)C)c1c([C@H]2C)cc(cc1)F,C23H28FNO2,369.47,27,6,0.57,1,3,3,108.11,52.49,3.09,3.26,3.98,4.11,3.39,3.57,-4.28,1.93E-02,5.21E-05,Moderately soluble,-4.04,3.40E-02,9.20E-05,Moderately soluble,-4.67,7.86E-03,2.13E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.24,0,0,0,0,0,0.55,0,1,1,5.44
Molecule 95,CCCN(CC(OCCC=C1N=CCC=C1C)CO)Cl,C15H25ClN2O2,300.82,20,0,0.67,9,4,1,88.11,45.06,3.48,1.31,2.54,1.05,3.35,2.35,-1.94,3.48E+00,1.16E-02,Very soluble,-1.86,4.18E+00,1.39E-02,Very soluble,-3.22,1.80E-01,6.00E-04,Soluble,High,Yes,No,No,No,No,No,No,-7.2,0,0,0,0,0,0.55,0,1,1,4.48
Molecule 96,OCCC[C@H]([C@H]([C@@H]1CC[C@H]2[C@@H](CC1=O)[C@H]1[C@H](O2)CCC1)[C@H]1CC[C@H](C1)O)O,C22H36O5,380.52,27,0,0.95,6,5,3,104.18,86.99,2.8,1.7,2.45,1.81,2.8,2.31,-2.87,5.08E-01,1.34E-03,Soluble,-3.14,2.74E-01,7.21E-04,Soluble,-2.13,2.79E+00,7.33E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.41,0,0,0,0,0,0.55,0,0,1,5.18
Molecule 97,CC(CC1=C[C@@H]2CC=C([C@@H]([C@H]2[C@H](CCC1)O)C)C)C,C18H30O,262.43,19,0,0.78,2,1,1,84.63,20.23,3.57,4.07,4.72,4.29,3.72,4.08,-3.9,3.31E-02,1.26E-04,Soluble,-4.2,1.66E-02,6.32E-05,Moderately soluble,-3.22,1.57E-01,5.97E-04,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.01,1,0,0,0,1,0.55,0,1,1,4.68
